PLAYERS,,,,,,,,Game Info,,,,,,,,,,,DEFENSES,,,,,ACTIONS MASTER,,,,,,,,,,,,,,,,,,,,,,,OVERALL ACTION CATEGORIES,,,,,,,,,,,GAME TAB LOCATIONS,,,,,,,,,,DEFENSIVE GAME TOTALS,,,,,DEFENSIVE PLAYER GAME TOTALS,,,,,,,,,,,,ACTION GAME TOTALS,,,,,,,,,,,ACTION CATEGORY TOTALS,,,,,,,,,,,,ACTION CATEGORY VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring Ranges,,,,,SEASON TOTAL STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,PER GAME STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,,PLAYER DEFENSIVE ACTION PER-GAME AVERAGES,,,,,,,,,,,,,,,,,,,,,,,,ACTION CATEGORY PER GAME STATS,,,,,,,,,,,,PLAYER ACTION PER GAME STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey #,Player Name,# Player Name,Position,Role,,,,Game #,Date,Time,Opponent,Location,Tab Name,SAC Score,OPP Score,,,,Name,Type,,,,Action,Category,Score,Man,50,32,21,,,,,,,Man,50,32,21,,,,,,,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Defense,Section Type,Label / Category / Action,Header Range,Data Range,Column(s),Notes,,,,Defense,Total Games,,,,Player,Overall,Man,50,32,21,,,,,,,Action,Man,50,32,21,,,,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,Positive Total,Negative Total,Net Performance,Positive %,Negative %,Net Efficiency %,Pos/Neg Ratio,Sum Of Absolute Values,,,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Per-Game Average,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Defensive Breakdown % of Net,Team Value Totals,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Team Value Totals,Defensive Breakdown % of Net,Sum Of Absolute Values,,,Per-Game Averages ,,,,PPM Range,Label,Impact,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Per-Game Averages,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Player,Block,Charge,Contested Shot,Audible,Good Foul,Jump Ball,No Ball In Paint,Post Shift,Rebound,Rotation Help,Steal,PNR Trap,Successful Trap,Tip,Top Rotation,Bad Foul,Failed Audible,Middle Drive,Missed PNR Trap,Missed REB Duty,Missed Rotation,Missed Trap,No Shot Contest,No Front (High),No Front (Low),Same Side Help,Scored On
,,,,,,,,21,01/23/26,7:00 PM,Irvine Valley,Away,21 - Irvine Valley (01/23/26),,,,,,,,,,,No Front (Low),Team Errors,-1,,,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Tip,H20,H21:H32,H,Deflection / tip,,,,,,,,,,,,,,,,,,,,,No Front (Low),,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,32,,,,,,,,,,,,,,,,,,,,,,Good Foul,32,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),,,10,8,,,,3,,2,,6,,,,,,,29,-.3%,-29,,,No Front (Low),,,-10,-8,,,,-3,,-2,,-6,,,,,,,-29,-.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),,,0.5,0.5,,,,0.3,,0.2,,0.3,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,01/28/26,7:00 PM,Cypress,Home,22 - Cypress (01/28/26),,,,,,,,,,,Same Side Help,Team Errors,-2,MAN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Steal,I20,I21:I32,I,Steal recorded,,,,,,,,,,,,,,,,,,,,,Same Side Help,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,32,,,,,,,,,,,,,,,,,,,,,,Jump Ball,32,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,9,6,5,7,15,,9,1,8,,14,,,,,,,,74,-1.3%,-148,,,Same Side Help,-18,-12,-10,-14,-30,,-18,-2,-16,,-28,,,,,,,,-148,-1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,0.5,0.3,0.2,0.4,0.7,,0.4,0.1,0.7,,0.7,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,02/04/26,7:00 PM,Orange Coast,Home,23 - Orange Coast (02/04/26),,,,,,,,,,,Scored On,Coverage Errors,-3,MAN,50,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Block,J20,J21:J32,J,Blocked shot,,,,,,,,,,,,,,,,,,,,,Scored On,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post Shift,32,,,,,,,,,,,,,,,,,,,,,,Post Shift,32,,,,,,,,,,,,,,,,,,,,,,,Scored On,41,49,54,27,50,,36,2,11,3,32,16,,,,,,,321,-8.5%,-963,,,Scored On,-123,-147,-162,-81,-150,,-108,-6,-33,-9,-96,-48,,,,,,,-963,-8.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post Shift,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,2.2,2.3,2.6,1.6,2.4,,1.7,0.2,0.9,0.3,1.5,0.8,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,02/06/26,7:00 PM,Fullerton,Home,24 - Fullerton (02/06/26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Rebound,K20,K21:K32,K,Defensive rebound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,32,,,,,,,,,,,,,,,,,,,,,,Rebound,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8%,,,,TOTAL,486,382,298,-89,209,4,138,18,67,-23,925,188,,,,,,,2603,22.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per-Game Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,02/10/26,7:00 PM,Saddleback,Away,25 - Saddleback (02/10/26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Rotation Help,L20,L21:L32,L,Rotational coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,32,,,,,,,,,,,,,,,,,,,,,,Rotation Help,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,02/12/26,7:00 PM,Riverside,Home,26 - Riverside (02/12/26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,PNR Trap,M20,M21:M32,M,Pick-and-roll trap success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,32,,,,,,,,,,,,,,,,,,,,,,Steal,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,02/18/26,7:00 PM,Irvine Valley,Home,27 - Irvine Valley (02/18/26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Contested Shot,N20,N21:N32,N,Contested shot forced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,32,,,,,,,,,,,,,,,,,,,,,,Tip,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,02/20/26,7:00 PM,Cypress,Away,28 - Cypress (02/20/26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Jump Ball,O20,O21:O32,O,Jump ball or tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,32,,,,,,,,,,,,,,,,,,,,,,Bad Foul,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Good Foul,P20,P21:P32,P,Smart / non-shooting foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,32,,,,,,,,,,,,,,,,,,,,,,Failed Audible,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Charge,Q20,Q21:Q32,Q,Offensive charge taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,32,,,,,,,,,,,,,,,,,,,,,,Middle Drive,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Audible,R20,R21:R32,R,Defensive communication executed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,32,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Middle Drive,S20,S21:S32,S,Drive allowed through middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,32,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Missed Rotation,T20,T21:T32,T,Missed rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,32,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Missed PNR Trap,U20,U21:U32,U,Failed trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (High),32,,,,,,,,,,,,,,,,,,,,,,No Front (High),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (High),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Same Side Help,V20,V21:V32,V,Late or missing same-side help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),32,,,,,,,,,,,,,,,,,,,,,,No Front (Low),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Missed REB Duty,W20,W21:W32,W,Failed boxout or rebound duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,32,,,,,,,,,,,,,,,,,,,,,,Scored On,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,No Shot Contest,X20,X21:X32,X,No contest given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,50,,,,1,1,,,,,,1,,,,,,,,3,0.5,,Block,50,,,,2,2,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,50,,,,0.3,0.1,,,,,,0.1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Scored On,Y20,Y21:Y32,Y,Player scored against,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,50,,,,,,,,,,,,,,,,,,,,,,Charge,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Bad Foul,Z20,Z21:Z32,Z,Poor or unnecessary foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,50,3,4,9,3,8,,5,,2,1,13,3,,,,,,,51,8.9,,Contested Shot,50,6,8,18,6,16,,10,,4,2,26,6,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,50,0.4,0.5,1.1,0.8,1.0,,0.7,,1.0,1.0,1.6,0.8,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Failed Audible,AA20,AA21:AA32,AA,Miscommunication on audible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,50,,,,,,,,,,,,,,,,,,,,,,Audible,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Totals Row,Total,A33:AA33,A33:AA33,A–AA,Summary totals for all categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,50,,,3,1,,,,,,,,,,,,,,,4,0.6,,Good Foul,50,,,3,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,50,,,0.4,0.3,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
